interventionType,intervention,jobsType,jobsName,value,id,region,country,gP,status
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Creation,Entrepreneurs/self-employed,Yes,P112011,LCR,Guatemala,Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Productive Assets-MSME/ Entrepreneurship,Job Quality,Worker productivity,Yes,P112011,LCR,Guatemala,Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P112092,EAP,Thailand,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P112092,EAP,Thailand,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P112106,LCR,Colombia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P112106,LCR,Colombia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P112611,EAP,Vanuatu,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P112611,EAP,Vanuatu,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P112712,AFR,Rwanda,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P112712,AFR,Rwanda,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P112759,EAP,China,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P112759,EAP,China,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P112998,AFR,Burundi,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P112998,AFR,Burundi,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P113032,AFR,Ethiopia,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P113032,AFR,Ethiopia,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P113145,AFR,Benin,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P113145,AFR,Benin,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P113148,EAP,Solomon Islands,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P113148,EAP,Solomon Islands,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P113148,EAP,Solomon Islands,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P113148,EAP,Solomon Islands,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Quality,Worker productivity,Yes,P113148,EAP,Solomon Islands,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P113173,AFR,Nigeria,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P113173,AFR,Nigeria,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P113202,AFR,Benin,"Health, Nutrition & Population GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P113273,AFR,Liberia,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P113273,AFR,Liberia,Agriculture GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P113370,AFR,Benin,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P113370,AFR,Benin,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P113370,AFR,Benin,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P113370,AFR,Benin,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Quality,Worker productivity,Yes,P113370,AFR,Benin,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P113402,SAR,Sri Lanka,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P113402,SAR,Sri Lanka,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P113421,SAR,Afghanistan,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P113493,EAP,Vietnam,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P113493,EAP,Vietnam,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P113586,AFR,South Sudan,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P113586,AFR,South Sudan,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P113629,AFR,Africa,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P113629,AFR,Africa,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P113794,OTH,World,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P113794,OTH,World,Environment & Natural Resources GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Access to/ working of product markets,Yes,P113971,AFR,Madagascar,Trade & Competitiveness GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P113971,AFR,Madagascar,Trade & Competitiveness GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Job Creation,Job creation (by employers),Yes,P113971,AFR,Madagascar,Trade & Competitiveness GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P114018,LCR,Argentina,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P114018,LCR,Argentina,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P114018,LCR,Argentina,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P114042,EAP,Papua New Guinea,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P114042,EAP,Papua New Guinea,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P114042,EAP,Papua New Guinea,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P114204,LCR,Brazil,Energy & Extractives GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Job Creation,New enterprises,Yes,P114204,LCR,Brazil,Energy & Extractives GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P114236,AFR,Burkina Faso,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P114236,AFR,Burkina Faso,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P114294,LCR,Argentina,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P114294,LCR,Argentina,Environment & Natural Resources GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P114304,ECA,Czech Republic,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P114304,ECA,Czech Republic,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P114580,AFR,Liberia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P114580,AFR,Liberia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P114810,LCR,Brazil,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P114810,LCR,Brazil,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P114841,SAR,Bangladesh,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P114841,SAR,Bangladesh,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P114880,AFR,Mozambique,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P114880,AFR,Mozambique,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P114880,AFR,Mozambique,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Creation,Entrepreneurs/self-employed,Yes,P114890,LCR,Brazil,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P114890,LCR,Brazil,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P114890,LCR,Brazil,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P114897,LCR,Mexico,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P114897,LCR,Mexico,Agriculture GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P114932,ECA,Turkey,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P114932,ECA,Turkey,"Urban, Rural & Social GP",Pipeline
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Quality,Earnings/ livelihood,Yes,P114987,EAP,Solomon Islands,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Access,Working of labor market,Yes,P114987,EAP,Solomon Islands,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115080,EAP,Philippines,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115080,EAP,Philippines,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P115119,EAP,Mongolia,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P115119,EAP,Mongolia,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P115119,EAP,Mongolia,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P115183,LCR,Argentina,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P115247,AFR,Ghana,Social Protection & Labor GP,Active
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P115318,AFR,"Congo, Democratic Republic of",Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115351,EAP,Samoa,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115351,EAP,Samoa,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115561,EAP,China,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115561,EAP,China,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P115592,LCR,Honduras,Social Protection & Labor GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Access to/ working of product markets,Yes,P115647,ECA,Armenia,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Intermediate Outcomes,Firm performance/ investment,Yes,P115647,ECA,Armenia,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,Job creation (by employers),Yes,P115647,ECA,Armenia,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Creation,New enterprises,Yes,P115647,ECA,Armenia,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure-ICT,Job Quality,Worker productivity,Yes,P115647,ECA,Armenia,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Quality,Earnings/ livelihood,Yes,P115743,ECA,Armenia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Access,Working of labor market,Yes,P115743,ECA,Armenia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115761,EAP,Thailand,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115761,EAP,Thailand,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115762,EAP,Vietnam,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115762,EAP,Vietnam,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115763,EAP,Indonesia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115763,EAP,Indonesia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115836,AFR,Sierra Leone,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115836,AFR,Sierra Leone,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115886,AFR,Benin,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115886,AFR,Benin,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P115963,AFR,Benin,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P115963,AFR,Benin,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P116011,MNA,"Egypt, Arab Republic of",Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P116011,MNA,"Egypt, Arab Republic of",Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P116011,MNA,"Egypt, Arab Republic of",Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P116080,ECA,Croatia,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P116080,ECA,Croatia,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P116080,ECA,Croatia,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P116152,LCR,Peru,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P116152,LCR,Peru,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P116197,MNA,Lebanon,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P116197,MNA,Lebanon,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P116201,MNA,Morocco,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P116201,MNA,Morocco,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P116230,MNA,"Egypt, Arab Republic of",Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P116230,MNA,"Egypt, Arab Republic of",Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Quality,Earnings/ livelihood,Yes,P116408,EAP,China,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Access,Working of labor market,Yes,P116408,EAP,China,Social Protection & Labor GP,Pipeline
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P116520,EAP,Timor-Leste,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P116520,EAP,Timor-Leste,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P116520,EAP,Timor-Leste,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P116520,EAP,Timor-Leste,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P116521,EAP,Papua New Guinea,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P116521,EAP,Papua New Guinea,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P116521,EAP,Papua New Guinea,Education GP,Active
Macro-level: Economic Conditions,Taxation/Fiscal Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P116696,ECA,Kazakhstan,Governance GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Quality,Earnings/ livelihood,Yes,P116774,ECA,Bosnia and Herzegovina,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Access,Working of labor market,Yes,P116774,ECA,Bosnia and Herzegovina,Social Protection & Labor GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P117091,AFR,Africa,Energy & Extractives GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Job Creation,New enterprises,Yes,P117091,AFR,Africa,Energy & Extractives GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P117107,EAP,China,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P117107,EAP,China,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P117107,EAP,China,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P117243,EAP,Indonesia,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P117243,EAP,Indonesia,Agriculture GP,Active
Meso-level: Business Environment,Infrastructure-Energy,Intermediate Outcomes,Firm performance/ investment,Yes,P117260,AFR,Tanzania,Energy & Extractives GP,Active
Meso-level: Business Environment,Spatial Development,Intermediate Outcomes,Access to/ working of product markets,Yes,P117318,LCR,Peru,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Intermediate Outcomes,Firm performance/ investment,Yes,P117318,LCR,Peru,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Creation,Job creation (by employers),Yes,P117318,LCR,Peru,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Creation,New enterprises,Yes,P117318,LCR,Peru,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Quality,Earnings/ livelihood,Yes,P117318,LCR,Peru,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Access,Lagging regions,Yes,P117318,LCR,Peru,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P117333,ECA,Poland,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P117333,ECA,Poland,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P117334,ECA,Czech Republic,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P117334,ECA,Czech Republic,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P117408,MNA,"Yemen, Republic of",Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P117408,MNA,"Yemen, Republic of",Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P117408,MNA,"Yemen, Republic of",Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Wage Subsidies,Job Quality,Earnings/ livelihood,Yes,P117440,LCR,El Salvador,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Quality,Earnings/ livelihood,Yes,P117596,EAP,China,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Access,Working of labor market,Yes,P117596,EAP,China,Social Protection & Labor GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P117617,AFR,Malawi,Water GP,Active
Meso-level: Business Environment,Labor Policies,Job Access,Working of labor market,Yes,P117949,MNA,"Yemen, Republic of",Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P118018,AFR,Cameroon,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P118018,AFR,Cameroon,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P118045,AFR,Togo,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P118045,AFR,Togo,Agriculture GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P118101,AFR,Rwanda,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P118101,AFR,Rwanda,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P118112,AFR,Ghana,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P118112,AFR,Ghana,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Quality,Earnings/ livelihood,Yes,P118158,ECA,Armenia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs-Public Works,Job Access,Working of labor market,Yes,P118158,ECA,Armenia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P118177,SAR,Pakistan,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P118177,SAR,Pakistan,Education GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P118308,ECA,Turkey,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P118308,ECA,Turkey,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P118308,ECA,Turkey,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P118316,AFR,Africa,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P118316,AFR,Africa,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P118375,ECA,Belarus,Transport and ICT GP,Active
